Cerco opportunità.	I look for opportunities.	investing
Cerco un buon rapporto rischio/rendimento.	I look for a good risk/return tradeoff.	investing
Compro ETF.	I buy ETFs.	investing
Compro e tengo.	I buy and hold.	investing
Controllo il budget.	I check the budget.	investing
Diversifico il portafoglio.	I diversify the portfolio.	investing
Evito decisioni impulsive.	I avoid impulsive decisions.	investing
Faccio backtest.	I run a backtest.	investing
Faccio un ribilanciamento.	I do a rebalance.	investing
Gestisco il rischio.	I manage risk.	investing
Guardo i tassi.	I watch rates.	investing
Guardo il rendimento.	I look at returns.	investing
Guardo l'inflazione.	I watch inflation.	investing
Guardo la correlazione.	I look at correlation.	investing
Guardo la performance.	I look at performance.	investing
Guardo la volatilità.	I look at volatility.	investing
Ho aumentato l'esposizione.	I increased exposure.	investing
Ho cambiato strategia.	I changed strategy.	investing
Ho letto un report.	I read a report.	investing
Ho ridotto il rischio.	I reduced risk.	investing
Ho un abbonamento.	I have a subscription.	investing
Ho un obiettivo a lungo termine.	I have a long-term goal.	investing
Ho un orizzonte di dieci anni.	I have a 10-year horizon.	investing
Ho un piano finanziario.	I have a financial plan.	investing
Ho un portafoglio semplice.	I have a simple portfolio.	investing
Il mercato sale.	The market goes up.	investing
Il mercato scende.	The market goes down.	investing
Investo ogni mese.	I invest every month.	investing
Metto da parte ogni mese.	I set aside money every month.	investing
Mi interessa la crescita.	Growth matters to me.	investing
Mi interessa la gestione del rischio.	I'm interested in risk management.	investing
Mi interessa la macroeconomia.	I'm interested in macroeconomics.	investing
Mi interessa la stabilità.	Stability matters to me.	investing
Mi piace l'automazione.	I like automation.	investing
Mi piace la disciplina.	I like discipline.	investing
Mi preoccupa l'inflazione.	Inflation worries me.	investing
Non faccio trading tutti i giorni.	I don't trade every day.	investing
Non guardo il mercato ogni giorno.	I don't watch the market every day.	investing
Non voglio stress.	I don't want stress.	investing
Non è un buon prezzo.	It's not a good price.	investing
Pago con carta.	I pay by card.	investing
Preferisco commissioni basse.	I prefer low fees.	investing
Preferisco il lungo termine.	I prefer the long term.	investing
Preferisco la semplicità.	I prefer simplicity.	investing
Preferisco un approccio aggressivo.	I prefer an aggressive approach.	investing
Preferisco un approccio prudente.	I prefer a cautious approach.	investing
Ribilancio una volta al mese.	I rebalance once a month.	investing
Risparmio soldi.	I save money.	investing
Seguo delle regole.	I follow rules.	investing
Seguo il mercato.	I follow the market.	investing
Spendo troppo.	I spend too much.	investing
Sto facendo una ricerca.	I'm doing research.	investing
Sto testando una nuova idea.	I'm testing a new idea.	investing
Tengo traccia delle spese.	I track expenses.	investing
Uso dati storici.	I use historical data.	investing
Vendo azioni.	I sell stocks.	investing
Voglio ridurre i costi.	I want to reduce costs.	investing
Voglio ridurre il drawdown.	I want to reduce drawdown.	investing
È molto volatile.	It's very volatile.	investing
È sopravvalutato.	It's overvalued.	investing
